gyro_x;gyro_y;gyro_z;accel_x;accel_y;accel_z;label
31450.382;8022.901;-0.1908397;0.0146484368;0.044189452;0.87109376;0
33435.114;-16335.878;-0.54198476;0.022460938;0.04345703;0.8640137;0
3167.939;-861.832;-0.55725192;0.051513672;0.029052734;0.8496094;0
31755.726;18305.344;-0.473282468;0.03881836;0.045898436;0.86621096;0
33282.442;22366.412;-0.33587788;0.014892578;0.0397949216;0.855468736;0
32290.078;0.015267176;-0.473282468;0.0107421868;0.0383300768;0.87109376;0
31755.726;21908.398;-0.091603052;0.009277344;0.043701172;0.8779297;0
32137.404;28931.298;-0.259542;0.008544922;0.0397949216;0.86816408;0
30687.022;23816.792;-0.60305348;0.011962891;0.041992188;0.8811035;0
32824.428;43587.784;-0.55725192;0.014892578;0.046875;0.87280268;0
3351.145;26030.534;-0.35877864;0.010986328;0.041503908;0.87231448;0
31755.726;2816.794;-0.28244276;0.01171875;0.03857422;0.8688965;0
31221.372;26717.558;-0.129771;0.010986328;0.04296875;0.86499024;0
31603.052;2221.374;-0.465648868;0.013916016;0.03955078;0.876464832;0
3167.939;0.229007632;-0.57251908;0.016113282;0.04711914;0.8786621;0
30305.342;19541.985;-0.52671752;0.015625;0.0461425784;0.8754883;0
32290.078;27862.596;-0.33587788;0.0175781252;0.048828124;0.8623047;0
31908.398;32519.084;-0.27480916;0.018066406;0.041259764;0.8713379;0
31221.372;25648.854;-0.412213736;0.013427734;0.04638672;0.8684082;0
3183.206;4183.206;-0.26717558;0.007080078;0.045898436;0.8720703;0
30458.016;26183.208;-0.2519084;0.010986328;0.040527344;0.867431632;0
33053.436;2534.351;-0.33587788;0.001953125;0.04248047;0.8781738;0
33053.436;69770.992;-0.35114504;0.001953125;0.036865236;0.8691406;0
32442.748;3183.206;-0.52671752;0.0075683592;0.0397949216;0.876464832;0
3206.107;410.687;-0.198473292;-0.00366210936;0.043701172;0.873291;0
31221.372;28473.282;-0.3053435;-0.0061035156;0.044433592;0.8708496;0
3335.878;362595.432;-0.16030534;-0.0043945312;0.03955078;0.86694332;0
31221.372;3664.122;-0.60305348;-0.0126953128;0.044189452;0.87768552;0
329.771;37251.908;-0.206106868;-0.0107421868;0.0397949216;0.86694332;0
3167.939;23435.114;-0.5496183;-0.008300781;0.044677736;0.873291;0
33206.108;29694.658;-0.412213736;-0.012207031;0.032958984;0.8679199;0
33053.436;3557.252;-0.2519084;-0.010986328;0.044677736;0.86376952;0
31145.038;37480.916;-0.229007632;-0.016357422;0.041015624;0.8679199;0
